Product_Name,Category,Profit_Per_Unit,Sales_Last_30_Days,Season_Used,Width_cm,Height_cm,Manufacturing_Date,Expiry_Date
Colgate Toothpaste 200g,Personal Care,24.15,706,Winter,19.9,18.4,11-08-2024,27-07-2025
Patanjali Toothpaste 100g,Personal Care,20.39,154,Monsoon,15.2,29.7,31-05-2024,26-03-2025
Tata Tea Soft Drink 500g,Beverages,14.74,337,Spring,5.7,26.8,04-12-2024,03-12-2025
Classmate Notebook 100g,Stationery,44.83,819,Winter,8.4,12.6,09-02-2025,14-10-2025
Dove Toothpaste 100g,Personal Care,39.36,790,Autumn,4.4,18.8,16-06-2024,02-11-2024
Harpic Toilet Cleaner 100g,Household,9.4,760,Winter,3.5,6.7,11-09-2024,08-04-2025
Camlin Highlighter 300g,Stationery,18.85,776,Monsoon,14.7,27.6,08-02-2025,02-02-2026
Colgate Face Wash 50g,Personal Care,49.86,857,Spring,18.2,1.8,13-06-2024,21-05-2025
ITC Chips 150g,Snacks,5.05,941,Monsoon,11.4,7.3,22-06-2024,28-02-2025
Haldiram's Cookies 400g,Snacks,30.05,62,Spring,13.8,5,16-03-2025,03-02-2026
Parle Cookies 500g,Snacks,31.34,556,Spring,19.1,16.5,10-02-2025,09-09-2025
Amul Butter 400g,Dairy,17.47,341,Summer,4.2,24.6,10-06-2024,25-01-2025
Himalaya Toothpaste 150g,Personal Care,31.96,886,Summer,12.5,28.2,22-06-2024,02-12-2024
Vim Detergent Powder 200g,Household,36.28,45,Winter,3.6,28.3,28-02-2025,04-02-2026
Lizol Air Freshener 1kg,Household,28.17,707,Winter,10.6,6.5,17-03-2025,04-02-2026
Amul Cheese 1kg,Dairy,25.32,16,Spring,11.4,25.2,25-08-2024,19-01-2025
Bru Soft Drink 750g,Beverages,30.78,657,Summer,5.8,20.3,02-04-2025,21-08-2025
Patanjali Face Wash 300g,Personal Care,25.34,161,Spring,19.4,20.6,14-02-2025,24-01-2026
Tata Tea Energy Drink 750g,Beverages,43.36,279,Autumn,5.4,10.1,02-06-2024,26-05-2025
Navneet Pencil 500g,Stationery,24.13,203,Autumn,11.4,5.8,12-05-2024,09-04-2025
Harpic Toilet Cleaner 50g,Household,20.87,387,Autumn,16.9,1.4,14-01-2025,06-05-2025
Tata Tea Energy Drink 500g,Beverages,35.71,729,Autumn,9.5,7.7,13-03-2025,11-02-2026
Red Bull Juice 750g,Beverages,9.25,526,Spring,19.3,27.4,23-03-2025,04-03-2026
Cello Highlighter 500g,Stationery,41,430,Winter,7.4,7.9,09-01-2025,29-06-2025
Tata Tea Soft Drink 400g,Beverages,36.6,820,Autumn,8.2,29,22-03-2025,29-10-2025
Mother Dairy Milk 100g,Dairy,9.74,707,Monsoon,3.8,9.1,25-06-2024,20-01-2025
Cello Highlighter 150g,Stationery,41.89,566,Monsoon,3.2,10.1,31-03-2025,29-11-2025
ITC Chips 1kg,Snacks,29.61,321,Spring,2.9,16.4,23-05-2024,14-12-2024
Mother Dairy Yogurt 750g,Dairy,11.01,507,Summer,6.1,25.2,21-09-2024,19-02-2025
Patanjali Body Lotion 400g,Personal Care,41.37,24,Autumn,4.1,16,10-04-2025,01-12-2025
Himalaya Toothpaste 400g,Personal Care,33.23,919,Autumn,15.7,22.6,29-09-2024,17-08-2025
Himalaya Shampoo 250g,Personal Care,42.52,843,Autumn,3.9,2.4,03-10-2024,26-02-2025
Parle Cookies 150g,Snacks,17.15,637,Winter,19.4,10.9,19-09-2024,13-07-2025
Red Bull Soft Drink 300g,Beverages,30.45,716,Autumn,12,3.9,21-08-2024,23-06-2025
Britannia Chips 500g,Snacks,28.59,951,Monsoon,18.2,7.2,13-09-2024,15-04-2025
Colgate Soap 500g,Personal Care,32.73,711,Winter,19.4,20,09-04-2025,24-01-2026
Vim Toilet Cleaner 50g,Household,6.49,318,Monsoon,9.6,17.9,10-04-2025,01-02-2026
Haldiram's Namkeen 1kg,Snacks,28.84,497,Spring,19.7,24.5,07-12-2024,13-07-2025
Camlin Highlighter 750g,Stationery,38.63,90,Spring,18.1,10.6,25-05-2024,10-10-2024
Amul Milk 500g,Dairy,43.81,532,Summer,6.6,27,18-05-2024,06-03-2025
ITC Chips 250g,Snacks,17.62,574,Monsoon,3.7,15.5,05-02-2025,25-06-2025
Red Bull Coffee 150g,Beverages,16.95,857,Summer,19.6,25.8,30-01-2025,17-09-2025
Harpic Floor Cleaner 150g,Household,25.49,861,Autumn,3.5,25.6,12-01-2025,03-01-2026
Haldiram's Chocolate 500g,Snacks,8.29,464,Monsoon,3.7,14.9,03-03-2025,12-01-2026
Himalaya Face Wash 1kg,Personal Care,30.02,777,Spring,18.1,28.1,25-02-2025,29-05-2025
Dove Toothpaste 500g,Personal Care,40.71,640,Autumn,3.3,11.9,11-12-2024,13-11-2025
Tata Tea Coffee 300g,Beverages,10.94,78,Spring,12.3,13.8,22-09-2024,20-07-2025
Mother Dairy Butter 250g,Dairy,38.62,524,Summer,3.4,7.5,05-03-2025,09-11-2025
Patanjali Face Wash 100g,Personal Care,10.78,96,Winter,15.4,1.6,20-10-2024,21-01-2025
Patanjali Face Wash 500g,Personal Care,21.61,163,Autumn,2.9,1,18-12-2024,12-06-2025
Paperboat Soft Drink 50g,Beverages,46.91,534,Summer,6.7,14,23-01-2025,08-01-2026
Lizol Detergent Powder 300g,Household,11.27,897,Summer,8.3,6,19-10-2024,19-10-2025
Lizol Detergent Powder 1kg,Household,5.23,347,Autumn,6.1,14.1,05-10-2024,19-09-2025
Lizol Floor Cleaner 400g,Household,49.08,336,Winter,18.3,10.9,07-01-2025,08-09-2025
Paperboat Tea 500g,Beverages,14.3,279,Autumn,16.9,27.9,22-09-2024,21-05-2025
Mother Dairy Yogurt 100g,Dairy,29.39,828,Winter,14.4,3,14-12-2024,11-09-2025
Harpic Air Freshener 300g,Household,42.53,840,Winter,3.2,20.8,13-02-2025,26-06-2025
Bru Coffee 500g,Beverages,31.71,585,Spring,3,27.9,02-12-2024,24-10-2025
Camlin Pencil 1kg,Stationery,48.19,951,Autumn,2.9,12.3,11-01-2025,10-12-2025
Harpic Toilet Cleaner 250g,Household,38.42,472,Winter,11.8,4.2,25-05-2024,09-04-2025
Dove Soap 500g,Personal Care,31.56,774,Spring,4.3,1.1,12-08-2024,22-01-2025
Amul Paneer 250g,Dairy,11.84,993,Winter,11.5,5.6,09-10-2024,10-01-2025
Navneet Marker 400g,Stationery,48.83,266,Autumn,19.2,25.4,14-09-2024,11-02-2025
Lizol Air Freshener 500g,Household,49.5,158,Winter,8.8,14.3,11-08-2024,17-12-2024
Dove Body Lotion 750g,Personal Care,47.85,911,Autumn,11,10.2,05-01-2025,15-07-2025
Tata Tea Energy Drink 100g,Beverages,11.59,436,Spring,8.2,24,15-10-2024,25-03-2025
Parle Cookies 200g,Snacks,18.14,347,Autumn,12.2,21.7,03-12-2024,02-07-2025
Navneet Pen 250g,Stationery,17.1,609,Monsoon,8.9,4.9,24-11-2024,25-06-2025
Bru Soft Drink 400g,Beverages,42.6,107,Spring,18.5,19,29-06-2024,10-05-2025
Colgate Face Wash 750g,Personal Care,42.39,105,Monsoon,13.4,3,30-07-2024,23-01-2025
Amul Yogurt 250g,Dairy,21.96,345,Spring,5.9,17.4,23-09-2024,06-09-2025
Patanjali Shampoo 750g,Personal Care,14.29,145,Autumn,16.8,23.4,28-11-2024,14-03-2025
Surf Excel Floor Cleaner 50g,Household,10.23,68,Winter,16.7,5.7,30-08-2024,01-04-2025
Haldiram's Namkeen 50g,Snacks,26.37,281,Autumn,16.5,14.9,28-01-2025,21-06-2025
Harpic Dishwash Liquid 100g,Household,28.2,561,Spring,13,4.1,14-11-2024,31-08-2025
Bru Tea 200g,Beverages,32.46,223,Winter,4.4,11.1,07-03-2025,17-07-2025
Patanjali Toothpaste 750g,Personal Care,34.11,852,Autumn,8.4,27.7,27-01-2025,01-10-2025
Lizol Dishwash Liquid 300g,Household,44.97,75,Monsoon,3.3,9.2,09-02-2025,29-05-2025
Patanjali Body Lotion 150g,Personal Care,28.63,839,Monsoon,9.8,23.9,05-07-2024,14-11-2024
Camlin Notebook 300g,Stationery,30.52,351,Autumn,16.8,9.1,15-12-2024,05-08-2025
ITC Biscuits 1kg,Snacks,14.6,845,Winter,4.2,27.7,02-09-2024,12-07-2025
Cello Pen 100g,Stationery,13.36,318,Winter,13,6.1,19-07-2024,16-02-2025
Vim Detergent Powder 50g,Household,20.63,327,Autumn,7.5,7,22-09-2024,01-01-2025
Paperboat Coffee 150g,Beverages,10.1,231,Monsoon,9,1.3,25-09-2024,14-06-2025
Colgate Body Lotion 250g,Personal Care,6.28,98,Spring,3.8,22.7,15-09-2024,11-02-2025
Navneet Notebook 200g,Stationery,36.85,716,Summer,18,18.2,26-01-2025,25-08-2025
Red Bull Tea 400g,Beverages,10.01,867,Autumn,18.9,12.3,01-11-2024,24-05-2025
Himalaya Body Lotion 200g,Personal Care,21.17,255,Spring,10.2,29,08-02-2025,25-12-2025
Himalaya Shampoo 750g,Personal Care,27.03,793,Monsoon,13.7,25.1,08-11-2024,14-06-2025
Tata Tea Tea 150g,Beverages,38.77,996,Winter,14.1,26.7,18-07-2024,18-05-2025
Surf Excel Detergent Powder 100g,Household,47.58,692,Monsoon,2.9,25.3,24-06-2024,23-06-2025
Red Bull Soft Drink 750g,Beverages,26.96,482,Monsoon,16.7,26.9,18-05-2024,27-10-2024
Britannia Namkeen 1kg,Snacks,7.05,393,Summer,9.4,8.9,22-09-2024,25-06-2025
Britannia Biscuits 400g,Snacks,37.75,318,Monsoon,9.1,29.1,23-01-2025,29-07-2025
Cello Highlighter 50g,Stationery,34.11,117,Spring,17.9,6.1,23-10-2024,14-05-2025
Bru Tea 250g,Beverages,13.86,287,Monsoon,4.8,16.2,18-09-2024,23-01-2025
Cello Pencil 750g,Stationery,27.68,164,Spring,3,13,28-09-2024,02-04-2025
Mother Dairy Butter 500g,Dairy,27.47,172,Autumn,11.3,17,23-05-2024,02-02-2025
Classmate Notebook 500g,Stationery,26.17,680,Winter,11.7,9,15-03-2025,02-10-2025
Himalaya Face Wash 400g,Personal Care,23.73,499,Autumn,5.2,18.3,26-09-2024,18-04-2025
Bru Soft Drink 50g,Beverages,49.67,824,Autumn,17.2,26.1,21-10-2024,21-03-2025
Vim Toilet Cleaner 300g,Household,36.01,888,Monsoon,7.9,6.6,24-11-2024,02-08-2025
Paperboat Energy Drink 750g,Beverages,19.25,911,Spring,2.4,20.3,21-09-2024,23-02-2025
Lizol Air Freshener 400g,Household,48.38,976,Autumn,19.2,19.2,19-03-2025,09-08-2025
Parle Chips 300g,Snacks,48.48,824,Winter,12.6,25.2,08-03-2025,08-08-2025
Cello Pencil 250g,Stationery,40.47,144,Winter,15.8,10.2,19-08-2024,12-02-2025
Navneet Marker 150g,Stationery,39.03,563,Monsoon,16,17,28-02-2025,02-01-2026
Cello Marker 500g,Stationery,15.61,713,Summer,2.9,13.6,13-02-2025,18-01-2026
Haldiram's Chips 250g,Snacks,33.43,508,Summer,8.7,8.4,30-01-2025,24-07-2025
Paperboat Soft Drink 1kg,Beverages,40.81,832,Spring,17.2,20.2,30-07-2024,08-05-2025
Cello Notebook 50g,Stationery,13.52,667,Monsoon,14.4,29.8,01-02-2025,11-05-2025
Mother Dairy Paneer 250g,Dairy,35.42,239,Winter,5.9,20.9,16-08-2024,24-04-2025
Himalaya Soap 500g,Personal Care,26.12,675,Monsoon,14.1,26.7,18-11-2024,17-09-2025
Harpic Air Freshener 100g,Household,46.86,397,Summer,4.4,19.4,29-01-2025,06-11-2025
Dove Body Lotion 150g,Personal Care,7.81,988,Spring,8.4,9.5,22-08-2024,13-04-2025
Classmate Pencil 50g,Stationery,25.19,388,Summer,13.7,28,27-10-2024,04-10-2025
Classmate Marker 250g,Stationery,37.3,385,Summer,18.1,23.9,14-02-2025,13-07-2025
Colgate Shampoo 1kg,Personal Care,23.13,949,Monsoon,6.5,12.3,30-11-2024,04-08-2025
Haldiram's Biscuits 400g,Snacks,12.79,735,Spring,14.7,19.6,10-04-2025,03-09-2025
Britannia Cookies 500g,Snacks,24.63,61,Winter,9.8,25.6,11-01-2025,25-07-2025
Dove Toothpaste 750g,Personal Care,21.83,564,Winter,4.6,4.4,01-08-2024,02-01-2025
Harpic Air Freshener 400g,Household,33.07,342,Spring,10.5,1.5,25-09-2024,04-04-2025
Surf Excel Dishwash Liquid 150g,Household,34.03,269,Autumn,16.2,5.7,02-07-2024,14-11-2024
Mother Dairy Paneer 400g,Dairy,23.04,945,Autumn,13.5,27.9,20-08-2024,27-02-2025
Vim Toilet Cleaner 100g,Household,42.62,821,Autumn,11.9,3.3,31-07-2024,31-07-2025
Himalaya Face Wash 250g,Personal Care,14.37,893,Summer,9.6,3,23-05-2024,01-03-2025
Navneet Marker 200g,Stationery,33.52,32,Spring,17.6,11.1,20-03-2025,24-07-2025
Colgate Face Wash 500g,Personal Care,12.49,985,Summer,18.3,16.1,08-01-2025,12-07-2025
Mother Dairy Paneer 750g,Dairy,32.34,543,Monsoon,5.9,2.3,20-06-2024,13-06-2025
Mother Dairy Yogurt 200g,Dairy,22.66,948,Winter,13.9,6.8,13-12-2024,10-06-2025
Red Bull Coffee 1kg,Beverages,24.31,690,Spring,3.1,28.6,30-11-2024,14-07-2025
Harpic Air Freshener 50g,Household,15.64,680,Spring,18.5,10.1,05-01-2025,03-08-2025
Colgate Face Wash 100g,Personal Care,12.8,18,Winter,2.1,15.1,28-12-2024,04-08-2025
Navneet Pen 50g,Stationery,23.63,484,Summer,12.2,15.3,28-01-2025,09-05-2025
Camlin Highlighter 50g,Stationery,29.49,406,Summer,17.1,13.8,07-10-2024,05-09-2025
Harpic Dishwash Liquid 750g,Household,43.71,186,Autumn,5.6,16.7,20-06-2024,02-05-2025
Himalaya Body Lotion 250g,Personal Care,41.63,581,Monsoon,7.1,6.6,26-05-2024,25-12-2024
Britannia Chips 300g,Snacks,17.17,196,Winter,3.6,6.9,20-03-2025,30-11-2025
Dove Face Wash 300g,Personal Care,9.02,441,Summer,4.5,28.3,29-03-2025,15-12-2025
Surf Excel Toilet Cleaner 300g,Household,34.53,438,Autumn,12.3,27.2,08-04-2025,17-01-2026
Amul Cheese 150g,Dairy,32.89,182,Monsoon,8.7,28,16-07-2024,30-03-2025
Classmate Notebook 250g,Stationery,5.9,914,Autumn,19.6,6.5,16-12-2024,13-07-2025
Lizol Floor Cleaner 50g,Household,14.58,921,Autumn,16.9,17.4,30-09-2024,07-02-2025
Tata Tea Coffee 200g,Beverages,31.57,392,Monsoon,12.1,12.8,22-07-2024,22-04-2025
Parle Chips 250g,Snacks,10.73,88,Summer,19.4,11.8,16-10-2024,07-02-2025
Paperboat Energy Drink 500g,Beverages,31.61,183,Winter,15.2,25.9,03-10-2024,03-07-2025
Vim Air Freshener 50g,Household,26.24,946,Monsoon,19.8,12.5,22-03-2025,27-08-2025
Colgate Toothpaste 500g,Personal Care,44.27,318,Winter,3.2,12.9,24-09-2024,02-01-2025
Haldiram's Namkeen 500g,Snacks,31.6,921,Spring,5.5,27.5,24-03-2025,17-02-2026
Tata Tea Juice 500g,Beverages,48.9,58,Monsoon,7.9,29.6,04-01-2025,26-04-2025
Paperboat Coffee 250g,Beverages,42.9,753,Spring,18.5,15.8,12-03-2025,17-06-2025
Bru Energy Drink 100g,Beverages,21.03,463,Monsoon,5.7,26.5,22-09-2024,27-07-2025
Colgate Shampoo 150g,Personal Care,30.3,80,Summer,15.5,23.8,31-10-2024,24-07-2025
Parle Biscuits 50g,Snacks,36.42,12,Spring,7.2,21.5,11-04-2025,30-01-2026
Surf Excel Dishwash Liquid 400g,Household,34.91,812,Monsoon,15.9,19.6,05-03-2025,28-12-2025
Amul Yogurt 500g,Dairy,17.24,982,Autumn,4.1,25.2,19-11-2024,15-04-2025
Classmate Marker 400g,Stationery,10.8,291,Spring,18.2,29.9,17-05-2024,27-09-2024
Dove Body Lotion 250g,Personal Care,31.85,842,Autumn,16.4,1.3,05-12-2024,31-07-2025
Surf Excel Air Freshener 250g,Household,21.21,902,Winter,17.8,11.7,15-11-2024,14-02-2025
Patanjali Body Lotion 300g,Personal Care,22.48,202,Winter,5.2,28.4,19-02-2025,04-07-2025
Surf Excel Dishwash Liquid 50g,Household,29.6,912,Spring,6,2.4,10-12-2024,29-06-2025
Mother Dairy Milk 750g,Dairy,27.25,718,Monsoon,2.2,21.1,04-11-2024,10-08-2025
Bru Juice 400g,Beverages,27.15,126,Summer,18.4,10.8,20-08-2024,15-06-2025
ITC Chocolate 400g,Snacks,44.88,670,Monsoon,6.2,4.8,26-09-2024,02-06-2025
Classmate Highlighter 200g,Stationery,11.13,622,Summer,12.4,24.6,17-01-2025,28-10-2025
Red Bull Energy Drink 250g,Beverages,22.36,536,Summer,11.9,20.2,18-01-2025,06-06-2025
Harpic Air Freshener 250g,Household,17.7,269,Autumn,5.4,29.8,27-01-2025,25-10-2025
Haldiram's Chocolate 100g,Snacks,6.49,609,Spring,15.3,28.3,11-01-2025,04-09-2025
Lizol Floor Cleaner 1kg,Household,12.6,554,Summer,6.1,3.5,25-09-2024,07-04-2025
Britannia Namkeen 100g,Snacks,35.35,43,Autumn,10.7,7.8,30-11-2024,03-09-2025
Amul Butter 200g,Dairy,17.37,193,Spring,17.3,20.1,07-10-2024,10-02-2025
Amul Paneer 100g,Dairy,13.34,422,Monsoon,12,21.4,13-12-2024,05-06-2025
Parle Chips 100g,Snacks,9.75,526,Monsoon,14.9,10.5,12-03-2025,15-12-2025
Dove Soap 150g,Personal Care,5.05,303,Monsoon,10.2,21.4,12-05-2024,22-10-2024
Navneet Pencil 100g,Stationery,21.84,366,Spring,16.3,25.5,07-03-2025,02-10-2025
Tata Tea Juice 750g,Beverages,22.1,535,Autumn,5.9,7.3,29-10-2024,06-06-2025
Lizol Detergent Powder 400g,Household,32.81,514,Autumn,9.7,9.6,28-12-2024,23-11-2025
ITC Chocolate 150g,Snacks,25.1,152,Monsoon,13.1,27.8,25-09-2024,15-04-2025
Paperboat Energy Drink 250g,Beverages,42.09,288,Spring,15.5,7.6,23-03-2025,16-08-2025
Paperboat Coffee 200g,Beverages,33.46,16,Monsoon,6.4,8.8,24-08-2024,15-03-2025
Parle Chocolate 100g,Snacks,9.22,764,Monsoon,10.4,18.1,06-06-2024,26-02-2025
Cello Marker 1kg,Stationery,45.81,763,Summer,6.5,6.8,14-05-2024,07-10-2024
Lizol Detergent Powder 500g,Household,30.14,249,Spring,18.5,13.3,01-04-2025,07-08-2025
Tata Tea Energy Drink 400g,Beverages,43.79,598,Spring,10.9,8.1,28-10-2024,07-08-2025
Lizol Air Freshener 150g,Household,31.34,789,Monsoon,14.3,26.5,01-04-2025,10-02-2026
Navneet Marker 300g,Stationery,22.65,900,Autumn,14.3,19,15-01-2025,01-07-2025
Britannia Biscuits 150g,Snacks,24.35,37,Winter,12,11.3,10-08-2024,08-06-2025
Navneet Highlighter 300g,Stationery,21.22,227,Monsoon,14.2,18.7,11-05-2024,10-04-2025
Lizol Dishwash Liquid 150g,Household,9.71,262,Summer,13.9,15.9,23-01-2025,19-06-2025
Navneet Pencil 250g,Stationery,45.95,418,Autumn,2.8,28.5,30-10-2024,22-09-2025
Parle Namkeen 250g,Snacks,16.7,562,Spring,10.9,19.7,27-11-2024,08-05-2025
Himalaya Toothpaste 250g,Personal Care,24.33,727,Autumn,19.3,7.5,02-12-2024,15-03-2025
Navneet Marker 750g,Stationery,37.42,527,Spring,8.6,11.1,09-08-2024,23-04-2025
Dove Shampoo 100g,Personal Care,25.47,408,Winter,9,5.9,07-03-2025,18-09-2025
Vim Dishwash Liquid 500g,Household,9.53,997,Winter,9.9,17.4,21-03-2025,04-10-2025
Patanjali Body Lotion 750g,Personal Care,39.32,770,Summer,9.4,29.5,24-07-2024,01-02-2025
Camlin Pencil 100g,Stationery,16.2,591,Autumn,7,12.8,20-06-2024,14-12-2024
Navneet Highlighter 50g,Stationery,23.86,389,Winter,7.7,22.8,31-03-2025,18-09-2025
Red Bull Coffee 300g,Beverages,34.43,242,Winter,10.8,6.9,28-06-2024,19-02-2025
Cello Marker 750g,Stationery,5.1,677,Monsoon,3.1,28.9,28-02-2025,24-02-2026
Britannia Biscuits 100g,Snacks,23.74,25,Autumn,13,20.2,11-07-2024,05-03-2025
Colgate Body Lotion 150g,Personal Care,32.67,435,Autumn,8.3,21.7,31-12-2024,16-07-2025
Bru Soft Drink 1kg,Beverages,32.4,445,Spring,15,25.7,25-05-2024,08-02-2025
Colgate Shampoo 200g,Personal Care,13.17,260,Monsoon,18.4,3.5,21-05-2024,22-09-2024
Paperboat Juice 1kg,Beverages,45.72,549,Winter,9.6,16.4,28-08-2024,31-05-2025
Cello Notebook 750g,Stationery,48.38,280,Summer,2.2,26.4,11-08-2024,24-07-2025
Britannia Chips 100g,Snacks,7.43,141,Winter,4.7,27.1,24-11-2024,02-03-2025
Britannia Namkeen 300g,Snacks,48.56,300,Monsoon,13.5,28.4,01-01-2025,03-10-2025
Camlin Marker 200g,Stationery,13.38,835,Spring,14.8,22.5,14-10-2024,23-05-2025
Paperboat Coffee 750g,Beverages,35.19,999,Winter,14.4,10,07-06-2024,24-05-2025
Mother Dairy Milk 150g,Dairy,42.44,161,Monsoon,7,23.9,06-08-2024,19-05-2025
Navneet Notebook 300g,Stationery,24.25,263,Autumn,8.2,6.7,27-11-2024,26-07-2025
Lizol Dishwash Liquid 50g,Household,34.27,521,Summer,6.8,26.1,30-11-2024,29-08-2025
Classmate Pen 1kg,Stationery,37.9,141,Summer,5.4,23.8,24-07-2024,26-04-2025
Bru Coffee 50g,Beverages,48.74,363,Summer,19.5,15.1,13-10-2024,22-03-2025
Himalaya Body Lotion 100g,Personal Care,26.84,564,Summer,2.6,6.3,01-11-2024,29-08-2025
Bru Coffee 100g,Beverages,48.57,267,Winter,15.4,24.9,31-12-2024,18-12-2025
Paperboat Coffee 500g,Beverages,46.51,49,Autumn,12.8,25.1,18-09-2024,13-08-2025
Britannia Chips 200g,Snacks,16.44,58,Winter,10.3,3.4,14-05-2024,07-12-2024
Amul Yogurt 100g,Dairy,15.67,49,Spring,2.2,15.2,11-06-2024,28-05-2025
Bru Coffee 250g,Beverages,5.55,168,Summer,17.6,7.5,03-04-2025,04-10-2025
Haldiram's Chocolate 400g,Snacks,5.47,173,Summer,9.4,1.3,20-07-2024,02-07-2025
ITC Chips 750g,Snacks,15.09,803,Monsoon,10,27.5,23-10-2024,19-02-2025
Britannia Cookies 200g,Snacks,18.5,27,Monsoon,9.6,26.7,24-01-2025,13-01-2026
Amul Milk 300g,Dairy,45.5,546,Summer,19.3,24.9,30-05-2024,30-10-2024
Haldiram's Chips 100g,Snacks,28.33,518,Summer,17.6,10.1,16-06-2024,19-11-2024
Haldiram's Chocolate 300g,Snacks,44.28,734,Monsoon,7,23.1,08-12-2024,12-08-2025
ITC Chocolate 100g,Snacks,9.03,811,Spring,5.1,12.5,17-07-2024,09-12-2024
Vim Dishwash Liquid 200g,Household,42.92,89,Summer,6.7,11,05-03-2025,17-06-2025
Vim Dishwash Liquid 750g,Household,39.29,581,Spring,18.8,2,28-09-2024,28-07-2025
